Time,Type,Entry,Exit,Net_PnL,Condition
2026-01-02 06:00:00+00:00,LONG,26151.7,26284.55,6582.5,Risk/Target
2026-01-05 03:45:00+00:00,SHORT,26285.8,26340.25,-2782.5,Risk/Target
2026-01-08 05:20:00+00:00,SHORT,26156.75,26021.55,6700.0,Risk/Target
2026-01-09 06:05:00+00:00,SHORT,25920.5,25759.95,7967.5,Risk/Target
2026-01-12 03:55:00+00:00,SHORT,25669.75,25532.45,6805.0,Risk/Target
2026-01-13 04:10:00+00:00,LONG,25783.85,25730.2,-2742.5,Risk/Target
2026-01-16 04:20:00+00:00,SHORT,25695.85,25752.4,-2887.5,Risk/Target
2026-01-19 09:45:00+00:00,LONG,25627.0,25571.7,-2825.0,Risk/Target
2026-01-20 09:45:00+00:00,SHORT,25336.4,25200.05,6757.5,Risk/Target
2026-01-22 03:45:00+00:00,SHORT,25153.95,25318.0,-8262.5,Risk/Target
2026-01-27 03:50:00+00:00,SHORT,25077.05,24946.4,6472.5,Risk/Target
2026-01-29 03:45:00+00:00,LONG,25348.05,25280.55,-3435.0,Risk/Target
2026-02-03 03:45:00+00:00,LONG,25352.45,25809.75,22805.0,Risk/Target
2026-02-05 04:10:00+00:00,SHORT,25764.0,25635.15,6382.5,Risk/Target
2026-02-06 05:20:00+00:00,SHORT,25630.2,25498.25,6537.5,Risk/Target
2026-02-09 03:45:00+00:00,LONG,25651.3,25815.55,8152.5,Risk/Target
2026-02-10 07:15:00+00:00,LONG,25848.5,25984.15,6722.5,Risk/Target
2026-02-12 09:10:00+00:00,SHORT,25935.35,25797.3,6842.5,Risk/Target
2026-02-13 03:45:00+00:00,SHORT,25775.4,25596.4,8890.0,Risk/Target
2026-02-16 06:55:00+00:00,SHORT,25515.35,25576.05,-3095.0,Risk/Target
2026-02-18 08:45:00+00:00,SHORT,25717.15,25771.6,-2782.5,Risk/Target
2026-02-20 03:55:00+00:00,SHORT,25522.7,25382.1,6970.0,Risk/Target
2026-02-20 09:35:00+00:00,LONG,25632.55,25574.2,-2977.5,Risk/Target
2026-02-23 03:45:00+00:00,SHORT,25567.0,25698.35,-6627.5,Risk/Target
2026-02-25 03:45:00+00:00,SHORT,25412.8,25561.8,-7510.0,Risk/Target
2026-02-27 03:45:00+00:00,LONG,25501.85,25395.4,-5382.5,Risk/Target
2026-03-04 03:45:00+00:00,LONG,24823.35,24385.1,-21972.5,Risk/Target
2026-03-06 03:45:00+00:00,LONG,24714.8,24594.4,-6080.0,Risk/Target
2026-03-10 03:45:00+00:00,LONG,24015.7,24150.4,6675.0,Risk/Target
2026-03-11 04:05:00+00:00,LONG,24263.8,24192.45,-3627.5,Risk/Target
2026-03-13 03:45:00+00:00,SHORT,23666.8,23450.25,10767.5,Risk/Target
2026-03-16 04:05:00+00:00,SHORT,23177.9,23242.75,-3302.5,Risk/Target
2026-03-18 03:45:00+00:00,LONG,23593.2,23721.9,6375.0,Risk/Target
2026-03-19 03:45:00+00:00,SHORT,23783.75,23289.5,24652.5,Risk/Target
2026-03-19 09:55:00+00:00,SHORT,23037.25,23087.85,-2590.0,Risk/Target
2026-03-23 03:45:00+00:00,SHORT,23139.4,22687.45,22537.5,Risk/Target
2026-03-23 09:30:00+00:00,LONG,22613.85,22503.9,-5557.5,Risk/Target
2026-03-25 03:45:00+00:00,SHORT,22916.35,23162.6,-12372.5,Risk/Target
