Entry Time,Exit Time,Type,Entry Price,Exit Price,Points,Net PnL,Reason
2025-12-31 09:30:00+00:00,2026-01-01 03:55:00+00:00,BUY,26134.25,26187.2,52.95,3321.7,Target Hit
2026-01-01 06:35:00+00:00,2026-01-01 07:45:00+00:00,BUY,26130.85,26165.45,34.6,2128.97,Target Hit
2026-01-01 09:50:00+00:00,2026-01-02 03:45:00+00:00,BUY,26138.05,26181.65,43.6,2713.97,Target Hit
2026-01-02 09:00:00+00:00,2026-01-02 09:35:00+00:00,BUY,26285.65,26322.6,36.95,2281.7,Target Hit
2026-01-05 07:40:00+00:00,2026-01-05 08:00:00+00:00,BUY,26308.75,26288.3,-20.45,-1449.2,Stop Loss Hit
2026-01-06 09:30:00+00:00,2026-01-07 03:45:00+00:00,SELL,26178.5,26125.65,52.85,3315.22,Target Hit
2026-01-07 09:20:00+00:00,2026-01-07 09:35:00+00:00,SELL,26119.25,26145.5,-26.25,-1826.25,Stop Loss Hit
2026-01-07 09:40:00+00:00,2026-01-08 03:50:00+00:00,SELL,26151.8,26096.75,55.05,3458.3,Target Hit
2026-01-09 09:55:00+00:00,2026-01-12 03:45:00+00:00,SELL,25703.7,25611.05,92.65,5902.15,Target Hit
2026-01-12 06:45:00+00:00,2026-01-12 06:50:00+00:00,SELL,25601.3,25644.85,-43.55,-2950.67,Stop Loss Hit
2026-01-12 06:55:00+00:00,2026-01-12 07:00:00+00:00,SELL,25660.8,25697.5,-36.7,-2505.45,Stop Loss Hit
2026-01-12 07:10:00+00:00,2026-01-12 07:55:00+00:00,SELL,25723.05,25689.05,34.0,2090.0,Target Hit
2026-01-13 08:00:00+00:00,2026-01-13 08:40:00+00:00,BUY,25661.4,25636.55,-24.85,-1735.22,Stop Loss Hit
2026-01-14 07:50:00+00:00,2026-01-14 08:00:00+00:00,BUY,25717.15,25700.35,-16.8,-1212.05,Stop Loss Hit
2026-01-14 08:05:00+00:00,2026-01-14 08:20:00+00:00,BUY,25671.2,25638.95,-32.25,-2216.25,Stop Loss Hit
2026-01-16 03:45:00+00:00,2026-01-16 04:05:00+00:00,SELL,25729.85,25690.75,39.1,2421.47,Target Hit
2026-01-16 06:55:00+00:00,2026-01-16 07:30:00+00:00,BUY,25752.1,25725.85,-26.25,-1826.25,Stop Loss Hit
2026-01-19 09:50:00+00:00,2026-01-20 03:50:00+00:00,BUY,25561.9,25514.35,-47.55,-3210.8,Stop Loss Hit
2026-01-20 03:55:00+00:00,2026-01-20 04:05:00+00:00,BUY,25488.35,25457.95,-30.4,-2096.03,Stop Loss Hit
2026-01-21 06:40:00+00:00,2026-01-21 06:45:00+00:00,SELL,25136.15,25157.45,-21.3,-1504.42,Stop Loss Hit
